"Date","Year","HOx","EM","Chem_Depth_m","Cmax_SRP_ugL","Cmax_DIN_ugL","Cmax_DOC_mgL","SRPmax_depth_m","SRPmax_ugL","DINmax_depth_m","DINmax_ugL","DOCmax_depth_m","DOCmax_mgL","Temp_Depth_m","Temp_C","schmidt.stability","thermo.depth","Kd","perc_light_thermocline","shannon","richness","BV_Bacillaria","BV_Cryptophytes","BV_Cyanobacteria","rel_abund_Bacillaria","rel_abund_Cryptophytes","rel_abund_Cyanobacteria","BV_TOTAL"
2016-04-25,2016,1,0,6.2,5,11,1.6,1.6,6,9,33,1.6,1.8,6.2,9.1,13.0039894057144,3.31938825395016,0.788253033165957,6.45683151718357,2.13130748701204,12,30833.8282278327,9153.37269281586,12136.5291619646,0.311692015509728,0.0925293207919004,0.122685357388437,98924.0233741898
2016-05-02,2016,1,0,6.2,5,17,1.7,3.8,8,9,46,NA,NA,5.9,9.6,20.0167575088101,3.05580212194591,0.677543744393727,11.3644524236984,2.10867943876525,13,157851.609385738,67673.2982841155,7537.68189826716,0.454254336864501,0.194745491383389,0.0216914145222662,347496.097616397
2016-05-09,2016,1,0,5,7,6,1.7,NA,NA,8,45,0.1,1.9,4.7,12,13.5938465924251,4.21465340248426,0.745579127755567,9.15249134427217,1.85479827555385,12,5543.98703574669,30902.7849977098,94204.7289362148,0.0257817280448718,0.143710148220574,0.438089174147436,215035.509881171
2016-05-16,2016,1,0,6.2,9,16,1.3,0.1,12,6.2,16,3.8,1.7,5.608,10.1831,12.6082799680227,3.42121338205086,0.716024095400322,10.4810495626822,1.97051693615006,9,1458.53639961831,12542.2234878227,38661.9601880071,0.0105861838868852,0.0910325475780022,0.280611865487063,137777.353501787
2016-05-23,2016,1,0,6.2,NA,NA,1.4,3.8,16,0.1,24,NA,NA,5.842,10.3896,13.3449971763047,3.29424610277806,0.907754263913134,15.5263157894737,1.20829449554427,12,10354.6869821248,56837.5267549158,75588.4214733264,0.0196217095844805,0.107704795462224,0.143236976323796,527715.841351289
2016-05-30,2016,1,1,5,12,9,1.7,NA,NA,1.6,52,5,1.7,5.408,10.7166,26.084392676875,3.80345973213649,0.879383833483033,3.12050739957717,1.78221606235577,11,2468.29236858484,12801.962986475,140964.997359617,0.00962162995974549,0.0499032254776372,0.549494484175857,256535.782285492
2016-06-06,2016,1,1,3.8,7,17,1.6,5,15,0.1,19,0.1,1.9,3.681,16.5932,35.6912306974633,2.1859422217958,1.04297440839534,3.17073170731707,1.24454278418438,10,12566.3706143592,22393.1880720704,729758.549416547,0.0117630253453835,0.0209616321959111,0.683106409657238,1068294.10337801
2016-06-13,2016,1,1,5,12,9,1.8,3.8,14,8,16,0.1,2.1,4.825,14.3834,29.4337089392902,3.92312293262218,0.789965718097909,6.275,1.89697419573205,10,3470.57946695944,22098.6611043141,119838.792805611,0.015509047871146,0.0987527288217672,0.535526010032801,223777.726124395
2016-06-20,2016,1,0,3.8,14,10,2.2,3.8,14,9,30,3.8,2.2,4.212,16.6538,32.1920958182945,3.38342222196581,0.903609078698925,3.30082041932543,1.78897778395619,10,1887.5176936237,13393.3112011515,18457.611642449,0.0262134010151593,0.186003150393038,0.256334961733105,72005.8298628301
2016-06-27,2016,1,1,5,4,10,1.6,NA,NA,NA,NA,3.8,2.1,4.596,15.412,28.6585887306476,3.40852224468792,NA,NA,2.10777982085003,15,49554.2212449153,33483.3563970676,77004.7611090723,0.218873244591439,0.147890748160828,0.340117985703605,226406.024808632
2016-07-05,2016,1,1,3.8,7,14,1.8,1.6,10,8,55,0.1,2,3.052,21.2015,20.6349888674142,5.30840317472779,0.682609249779058,4.68571428571429,1.55080155315779,7,0,34275.0099797268,31829.0458252666,0,0.322979850206514,0.29993107103226,106121.202167291
2016-07-11,2016,1,1,3.8,11,12,1.7,0.1,12,9,55,0.1,2,NA,NA,NA,NA,NA,NA,2.01872475771498,12,0,49904.0097200415,148810.122008677,0,0.15024284220166,0.448013211851806,332155.655395941
2016-07-18,2016,1,0,3.8,9,4,1.6,NA,NA,9,25,1.6,2.1,3.484,21.2782,35.9975719151826,2.62452075639383,1.08293183454191,8.96385542168675,1.98812259369594,14,20046.6739973937,71865.5244465321,217336.824481726,0.0394982974244023,0.141597846082539,0.42822238421049,507532.610380536
2016-07-25,2016,1,1,6.2,7,93,2.5,3.8,13,6.2,93,0.1,3.7,6.208,13.7139,42.0594127402525,2.67111384681078,1.13864988399018,7.52032520325203,1.30360849899952,10,24424.2316098174,463720.050070743,253608.101407294,0.0298927171720707,0.567545072665106,0.310389918054447,817062.947781722
2016-08-01,2016,1,1,6.2,13,5,2.1,5,14,9,26,3.8,2.4,6.387,15.4454,24.7769774774788,5.54655917530739,1.11335165820163,1.10032362459547,0.1924557984322,12,2427.90091972503,2943424.55317809,19102.035940529,0.000794045784952115,0.962647956836854,0.00624732706320596,3057633.40821896
2016-08-08,2016,1,1,5,13,16,2.5,5,13,9,40,3.8,4.1,4.951,21.9317,18.4244614969733,5.48885985167982,0.837605087741998,1.19214586255259,0.311260419103124,12,42853.7228175502,2931760.94641661,43768.1801355433,0.0137604896643049,0.941399335902192,0.0140541253077299,3114258.56659114
2016-08-15,2016,1,0,5,7,72,1.8,NA,NA,9,175,8,3.3,5.07,21.3286,27.7613546813275,5.43240902648035,0.964447961434668,1.79007633587786,0.976777886595293,16,140581.618540736,987482.390341686,38178.6824414415,0.107836060374236,0.757468947709723,0.02928575405163,1303660.55707951
2016-08-26,2016,1,0,3.8,10,19,2.9,0.1,16,8,318,6.2,14.8,3.43,25.3769,31.4382592740269,4.98665781709335,1.01805850834175,0.957415565345081,1.88548517698564,15,265642.705363014,82038.0404098574,438892.075190266,0.268699469908497,0.082982056444339,0.443942429322527,988623.853457828
2016-09-02,2016,1,0,3.8,11,9,2.1,1.6,12,8,283,5,2.4,4.098,23.2067,19.7320586437909,5.16804251989714,1.42833816619588,1.52910052910053,1.18034605331778,13,69774.3084333966,4926.16629669372,246274.045374961,0.19015618282331,0.0134252993682666,0.671171573727017,366931.57907061
2016-09-09,2016,1,0,3.8,13,12,7.3,3.8,13,9,349,3.8,7.3,3.526,23.737,22.4395133928007,4.86562253639333,1.47150445521055,0.240343347639485,1.92030373679034,12,72287.1416095412,143407.408115412,225138.356088947,0.0869823832236532,0.172560677487892,0.270906696981463,831054.966885341
2016-09-20,2016,1,0,5,12,8,3.2,9,14,8,259,5,3.2,5,21.5,12.4352061870004,5.39468990707329,0.914123396636789,0.291457286432161,2.03803827811904,12,31696.9530226268,38570.0941511664,43739.3965530395,0.153475956139714,0.186755555779238,0.211785205415797,206527.157868116
2016-09-30,2016,1,0,1.6,9,33,3.4,6.2,11,9,346,6.2,11.9,2.024,21.5449,7.86641525090423,5.54074431528816,1.3512364201677,0.0229357798165138,1.43608728831591,10,33107.3245960153,45441.3035966823,394776.294067837,0.0681736002275026,0.0935713562789561,0.812911389835317,485632.627373831
2016-10-07,2016,1,0,0.1,12,40,3.6,0.1,12,9,92,0.1,3.6,0.678,19.6418,1.27428464038847,3.49293747268053,0.783567747446709,1.77944862155388,1.88988229375122,13,18661.8942737929,86370.5667557837,306135.937624346,0.0241606945267082,0.111819992593979,0.396340090886494,772407.194386043
2017-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-05-15,2017,1,0,8,6,24,2.5,3.8,12,9,26,6.2,2.8,8,9.9,15.9209080183944,4.01506232631761,0.972246005249675,1.58096085409253,1.24342137525132,9,4112.33516712057,74566.6912393795,260049.297264198,0.0101206043985402,0.183511302623287,0.639990651241622,406332.962457633
2017-05-22,2017,1,0,5,3,19,2.3,6.2,11,NA,NA,3.8,2.5,5,10.9,23.1370573587243,2.51047438892007,0.831441559485452,7.32409381663113,1.69415913948394,11,8031.90462328235,43675.0937195815,89206.188060393,0.0448348582720313,0.243798542036831,0.497957456701151,179144.195673588
2017-05-29,2017,1,1,3.8,9,8,2.4,3.8,9,9,61,8,3.7,3.8,13.8,28.2272194461423,3.92699534264093,1.36712864006326,0.731452455590387,0.881232997332859,7,28215.6547588966,4837.95670735899,154418.185525377,0.135788470825505,0.0232827750702874,0.743140978273018,207791.240208862
2017-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-12,2017,1,1,5,5,15,2.5,NA,NA,NA,NA,NA,NA,5,15.1,26.257021143236,5.1059134415866,0.844670387833618,1.02808691043985,1.42103441276369,14,17410.0251916459,168452.972338971,1570.16433653694,0.076672862372311,0.741858292689332,0.00691492360016665,227068.934861276
2017-06-19,2017,1,0,1.6,8,14,2.7,1.6,8,9,42,9,2.8,1.6,24,33.3891218767201,2.44564920432892,0.790306260413362,12.2409435551811,1.42016268181698,11,26310.8384738145,123366.199699398,292088.886082656,0.0493232143612908,0.231266575512865,0.547560000991364,533437.222503151
2017-06-26,2017,1,0,3.8,5,12,2.5,1.6,9,9,63,1.6,3.2,3.8,18.4,29.0855239660882,3.03227105474227,0.791434036710635,8.0969453606769,1.65770068256961,12,7386.56509323064,103656.119937986,120423.738213674,0.0273420294302308,0.383692372056032,0.445759206448229,270154.236797933
2017-07-05,2017,1,0,3.8,12,14,3.1,NA,NA,9,92,0.1,3.9,2.8,22.4,33.0390201025963,3.25957948508248,0.719863911759857,25.3191489361702,1.10822163322269,14,50390.3714511062,21820.7357859362,1192500.61444715,0.0326167841532986,0.0141241711204019,0.77188427122112,1544921.51078634
2017-07-10,2017,1,1,3.8,9,7,2.9,0.1,20,9,124,0.1,4.4,3.168,19.4333,34.942571170919,2.11680342385753,1.05620819636479,10.9810565224087,1.78530415557059,10,40144.2772189672,0,126672.191613896,0.112927991183061,0,0.356335625615756,355485.622283777
2017-07-17,2017,1,1,1.6,16,48,4.7,0.1,18,8,171,1.6,4.7,2.8,24.8,32.2792981342516,5.19215904551091,1.35320229562958,0.142365097588978,0.86102630691928,12,119299.072137986,69731.4966504744,4489436.30194552,0.0198485256104735,0.0116016610382579,0.746935326644356,6010475.26044126
2017-07-24,2017,1,1,1.6,16,20,6.5,0.1,18,9,195,0.1,6.9,-0.1,NA,NA,NA,NA,NA,0.457226013185139,13,118883.71229812,116281.172487438,10492158.0933832,0.0103049485076753,0.0100793579854766,0.909469823886152,11536565.3898778
2017-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-07,2017,1,0,5,9,96,2,1.6,12,8,358,0.1,3.6,5,17.6,23.1830171345293,3.52595428638924,1.09121355400782,5.05365178262374,1.82114034598666,17,45141.4928107958,160556.434390672,9467.52284597471,0.147103065459159,0.523206970071927,0.0308519179634756,306869.830821635
2017-08-14,2017,1,0,5,7,146,2.1,NA,NA,9,377,0.1,3.7,0.1,19,NA,NA,NA,NA,1.95959343423433,17,84125.4711135315,102472.65596799,89566.3084582477,0.159630081563224,0.194444301038087,0.169954199783462,527002.619366653
2017-08-21,2017,1,0,5,7,164,2.5,NA,NA,8,359,0.1,3.6,5,17.8,33.0409798436165,3.63056840129449,1.30993985677198,2.79344073647871,1.10168765631518,17,50847.6011210636,939764.540174282,23310.3153046683,0.0354827400528323,0.655791426826234,0.0162665266456882,1433023.52200968
2017-08-28,2017,1,0,5,6,6,2,1.6,9,8,401,6.2,6.7,5,17.5,10.3695591612238,4.45300136033483,1.14878604170034,0.703054806828392,1.28834642308754,16,70756.4441013004,923670.902510221,177932.888121138,0.0533589062509353,0.696559440200216,0.134182891986787,1326047.49746084
2017-09-04,2017,1,0,5,7,111,2.6,0.1,8,8,419,0.1,3.4,5,17.7,12.8034866409427,4.68038329910099,1.35459511933668,0.359570269677702,2.07943049775254,15,254077.030288843,351010.921264325,165117.539220083,0.226890889965575,0.313452893489666,0.14745002875695,1119820.32565253
2017-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-25,2017,1,0,5,8,69,1.9,5,8,9,393,1.6,3.2,5,17.6,12.9222441517907,4.58485558437593,0.945307461066889,1.30874479476502,1.80966233743367,17,18825.3565428186,136880.474231565,715580.040227349,0.0119032654811182,0.0865494696078529,0.452460975835525,1581528.74710563
2018-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-07,2018,1,0,3.8,8,12,3.3,0.1,11,8,56,6.2,3.5,3.622,11.2389,25.9538726390488,2.46405691975767,0.573795168011242,15.7099929672016,1.60226967818498,11,27900.1692356228,28100.9569753238,13021.0296290694,0.112502997568318,0.113312642212427,0.0525052322200904,247994.896479804
